queue_type,msg_bytes,consumers,queue_depth,total_msgs,elapsed_ms,throughput_mops,lat_mean_ns,lat_p50_ns,lat_p99_ns,lat_min_ns,lat_max_ns
mutex,8,1,64,1000000,239.39,4.1773,12133.2,11742.9,24295.2,213.1,334705.4
mutex,8,1,256,1000000,229.00,4.3667,54981.4,54289.2,76262.5,293.7,122011.5
mutex,8,1,1024,1000000,219.78,4.5499,208195.6,214992.6,386961.5,128.2,493712.8
mutex,64,1,64,1000000,322.88,3.0971,15982.9,16270.4,27225.5,210.4,397177.1
mutex,64,1,256,1000000,278.92,3.5852,66316.3,66198.0,90005.3,465.4,807646.7
mutex,64,1,1024,1000000,282.94,3.5344,281342.9,278708.9,354660.9,507.2,650276.2
mutex,256,1,64,1000000,388.08,2.5768,20281.7,20380.5,31654.3,559.9,176701.3
mutex,256,1,256,1000000,354.03,2.8246,85866.2,85289.3,111311.7,592.8,944164.8
mutex,256,1,1024,1000000,324.70,3.0797,318411.6,321173.0,447936.7,1524.2,1057917.7
spsc,8,1,64,1000000,53.36,18.7397,5357.4,5683.7,8124.2,76.8,18307.3
spsc,8,1,256,1000000,49.37,20.2555,23303.7,24332.3,27384.2,74.0,36350.7
spsc,8,1,1024,1000000,48.36,20.6783,92063.2,94785.0,134136.5,85.0,178737.2
spsc,64,1,64,1000000,82.35,12.1428,559.8,183.0,8181.1,45.9,32106.3
spsc,64,1,256,1000000,81.09,12.3314,3265.4,233.0,37912.6,49.3,329193.0
spsc,64,1,1024,1000000,82.89,12.0637,28831.5,268.0,190755.9,47.3,257662.9
spsc,256,1,64,1000000,95.65,10.4544,1408.1,255.6,10052.8,63.7,25559.7
spsc,256,1,256,1000000,99.03,10.0982,421.5,241.2,629.2,86.0,146842.7
spsc,256,1,1024,1000000,83.10,12.0338,150733.6,151102.2,187037.5,35510.4,337089.0
spmc,8,1,64,1000000,27.66,36.1542,1674.4,1655.8,2371.3,110.3,84216.7
spmc,8,1,256,1000000,48.41,20.6560,11302.5,11063.7,19921.3,119.9,136308.7
spmc,8,1,1024,1000000,25.32,39.4995,8688.7,2084.9,58277.0,176.8,95378.5
spmc,64,1,64,1000000,64.27,15.5592,687.6,196.7,4385.6,54.8,174542.8
spmc,64,1,256,1000000,40.34,24.7878,1200.5,897.1,5171.7,53.5,25459.3
spmc,64,1,1024,1000000,64.35,15.5397,962.2,181.6,17395.7,55.5,247376.4
spmc,256,1,64,1000000,72.56,13.7811,1940.6,1429.0,7384.0,111.0,32165.2
spmc,256,1,256,1000000,114.67,8.7208,518.0,294.0,4245.8,89.8,23336.4
spmc,256,1,1024,1000000,80.40,12.4386,1228.1,372.8,5565.8,86.7,142721.3
mutex,8,2,64,1000000,313.30,3.1918,4604.5,3789.3,14340.4,122.0,399794.8
mutex,8,2,256,1000000,313.09,3.1939,6013.4,3707.8,48869.1,65.8,322468.3
mutex,8,2,1024,1000000,295.15,3.3881,9044.4,3805.1,217772.1,167.9,280549.1
mutex,64,2,64,1000000,548.15,1.8243,3821.5,2762.0,17389.2,71.3,908120.1
mutex,64,2,256,1000000,500.91,1.9964,3557.6,2753.1,15291.7,68.5,158009.2
mutex,64,2,1024,1000000,551.75,1.8124,5553.7,2387.8,89451.2,174.8,304344.7
mutex,256,2,64,1000000,767.93,1.3022,4684.0,3294.5,23270.6,85.0,1473601.2
mutex,256,2,256,1000000,757.22,1.3206,6705.5,3867.5,60833.4,129.5,515990.0
mutex,256,2,1024,1000000,759.81,1.3161,5289.8,2979.2,45964.9,102.8,342913.2
spmc,8,2,64,1000000,35.26,28.3604,1268.7,1254.9,2917.6,45.9,212524.3
spmc,8,2,256,1000000,53.71,18.6171,6765.8,3223.9,22150.4,43.9,104788.1
spmc,8,2,1024,1000000,37.61,26.5885,18332.5,2415.9,65513.3,49.3,281398.9
spmc,64,2,64,1000000,101.87,9.8164,346.6,270.0,1555.4,58.3,153339.2
spmc,64,2,256,1000000,73.97,13.5192,601.0,344.0,2706.5,54.8,188661.1
spmc,64,2,1024,1000000,62.08,16.1084,16783.4,691.5,71574.0,45.2,161385.3
spmc,256,2,64,1000000,114.97,8.6977,455.9,420.1,1320.7,99.4,206583.9
spmc,256,2,256,1000000,124.07,8.0597,619.2,333.1,3610.8,69.9,176631.7
spmc,256,2,1024,1000000,139.02,7.1932,821.2,458.2,4023.4,97.3,151286.5
mutex,8,4,64,1000000,748.00,1.3369,2162.3,1659.3,8539.6,119.9,140387.6
mutex,8,4,256,1000000,821.92,1.2167,2178.6,1639.4,8794.5,72.0,169634.2
mutex,8,4,1024,1000000,783.65,1.2761,2394.2,1620.2,9877.0,66.5,3344841.1
mutex,64,4,64,1000000,992.11,1.0080,1925.8,1535.2,7037.9,122.0,291953.4
mutex,64,4,256,1000000,1002.23,0.9978,2025.5,1579.1,7378.6,106.9,289848.7
mutex,64,4,1024,1000000,1036.41,0.9649,1954.5,1555.1,7187.7,172.7,253215.7
